ID,Value
HAD11,[[बिगियानिफोरा\N_NN [[आबादारिफोरनि\N_NN सुबिदानि\N_NN थाखाय\PSP]]_NP [[बे\DM_DMD आदबखौ\N_NN]]_NP [[पाउदारनि\N_NN महरावबो\N_NN]]_NP [[जौगाहोबाय\V_VM ।\RD_PUNC]]_VGF 
HAD12,"[[बेनि\DM_DMD गेजेरजों\N_NST]]_NP [[आबादथिलिनि\N_NN रानस्राव\JJ]]_JJP [[हा\N_NN ,\RD_PUNC]]_NP [[गोरान\N_NN हासार\N_NN ,\RD_PUNC]]_NP [[गोरान\JJ गोबोरखियाव\N_NN पावदारखौ\N_NN]]_NP [[गलायनानै\V_VM]]_VGNF [[फोनाय\V_VM समाव\N_NST]]_NP [[फुलिफोरजों\N_NN लोगोसे\RB]]_NP [[हायाव\N_NN]]_NP [[होफानाय\V_VM [[जायो\V_VM ।\RD_PUNC]]_VGF "
HAD13,[[हाजों\N_NN गोरोबनाय\V_VM]]_NP लोगो\N_NN लोगोनो\N_NN]]_NP [[पावदारनिफ्राय\N_NN]]_NP लोगो\N_NN जिउसाफोर\N_NN]]_NP [[जोनोम\N_NN जायो\V_VM]]_VGF [[आरो\CC_CCD]]_CCP [[बैफोर\DM_DMD गावनो\PR_PRC गाव\PR_PRC]]_NP [[गुफुर\JJ एमफौखौ\N_NN]]_NP [[नागिरनानै\V_VM]]_VGNF [[बुथारबाय\V_VM थायो\V_VM ।\RD_PUNC]]_VGF 
HAD14,[[गुबै\RB बाथ्राया\N_NN]]_NP [[जादों\V_VM]]_VGF [[बे\DM_DMD लोगो\N_NN]]_NP [[एम्फौवा\N_NN]]_NP [[खानस्रिफोरखौ\N_NN जाया\V_VM ।\RD_PUNC]]_NEGP 
HAD15,[[बेनिफ्राय\DM_DMD हानि\N_NN रजहोनो\V_VM हानाय\V_VM [[गोहोनि\N_NN सायाव\N_NST]]_NP [[जेबो\CC_CCD गोहोम\N_NN]]_NP गोग्लैया\V_VM ।\RD_PUNC]]_NEGP 
HAD16,[[बेजों\DM_DMD]]_NP खालि\QT_QTF [[खुसेरलʼ\N_NNP नङा\V_VM थामहिनबा\CC_CCD]]_CCP [[बादाम\N_NNP]]_NP [[आरो\CC_CCD]]_CCP [[आलु\N_NNP]]_NP बायदि\PSP बायदि\PSP फसलफोरखौबो\N_NN]]_NP [[रैखा\V_VM खालामनो\V_VM]]_VGINF [[हानाय\V_VM]]_NP जागोन\V_VM ।\RD_PUNC]]_VGF 
HAD17,[[बोथोर\N_NN गाज्रिनि\JJ थाखाय\PSP]]_VGINF [[खारिफ\N_NN बोथोराव\N_NN]]_NP [[माइनि\N_NN दिहुनथाया\V_VM]]_NP [[खमायलाङो\V_VM जाउनाव\N_NN]]_NP [[सरकारि\N_NN बायनायाव\V_VM]]_NP [[गोहोम\N_NN खोख्लैनाय\V_VM]]_NP [[नुनो\V_VM मोनो\V_VM ।\RD_PUNC]]_VGF 
HAD18,[[माइ\N_NN बायनायखौ\V_VM]]_NP [[जागायनाया\V_VM]]_NP [[थाम\QT_QTC सप्ताह\N_NN [[बारलांबाय\V_VM ।\RD_PUNC]]_VGF 
HAD19,[[दासिम\N_NST [[गासै\PR_PRI 65\QT_QTC लाख\N_NN]]_NP [[टन\N_NN]]_NP [[माइ\N_NN [[बायनाय\V_VM [[जाबाय\V_VM ।\RD_PUNC]]_VGF 
HAD20,[[बोहैथि\N_NN सम\N_NST]]_NP [[थामहिनबा\CC_CCD]]_CCP [[अक्टरनिफ्राय\N_NN सिगां\N_NST बोसोर\N_NN]]_NP सेप्तेम्बरसिमनि\N_NN थाखाय\PSP]]_NP 2\QT_QTC .\RD_PUNC]]_NP 40\QT_QTC कौटि\N_NN माइरं\N_NN]]_NP [[बायनायनि\V_VM]]_NP [[(\RD_PUNC 4\QT_QTC .\RD_PUNC 1\QT_QTC कौटि\N_NN टन\N_NN]]_NP माइ\N_NN )\RD_PUNC]]_NP [[थांखि\N_NN]]_NP [[दं\V_VAUX ।\RD_PUNC]]_VGF 
HAD21,[[पान्जाब\N_NNP]]_NP [[आरो\CC_CCD]]_CCP [[हारियानानि\N_NNP हाथायफोराव\N_NN]]_NP [[गोबां\QT_QTF]]_JJP [[माइ\N_NN]]_NP [[सफैनायनि\V_VM सम\N_NST]]_NP [[नाथाय\CC_CCD]]_CCP [[नांगौसेबां\QT_QTF बिबांनि\QT_QTF]]_JJP [[माइ\N_NN]]_NP [[सफैयाखै\V_VM ।\RD_PUNC]]_VGF 
HAD22,[[पानजाब\N_NNP]]_NP [[आरो\CC_CCD]]_CCP [[हारियानायाव\N_NN माइ\N_NN फाननाय\V_VM बायनाया\V_VM]]_NP [[बयनिख्रुइबो\PR_PRI सिगांसिन\N_NST]]_NP [[जायो\V_VM ।\RD_PUNC]]_VGF 
HAD23,[[नाथाय\CC_CCD]]_CCP [[बारलांनाय\V_VM [[मौसुमि\N_NN बोथोराव\N_NN]]_NP [[गंनै\QT_QTO रायजोआ\N_NN]]_NP [[रानस्रावै\RB थायो\V_VM ।\RD_PUNC]]_VGF 
HAD24,[[बेनि\DM_DMD गोहोमखौ\N_NN]]_NP [[माइनि\N_NN दिहुन्थायाव\V_VM]]_NP [[गोग्लैनाय\V_VM]]_NP [[नुनो\V_VM मोनो\V_VM ।\RD_PUNC]]_VGF 
HAD25,[[बेफोर\DM_DMD उलथा\JJ [[थासारिफोर\N_NN थासेयावबो\V_VM आदार\N_NN]]_NP मन्त्रालयनि\N_NN [[बायनाय\V_VM थांखिखौ\N_NN]]_NP [[आरो\CC_CCD]]_CCP [[बारायना\V_VM [[होबावबाय\V_VM ।\RD_PUNC]]_VGF 
HAD26,[[आबाद\N_NN दाहारा\N_NN]]_NP [[लान्थ्रियै\RB बारायनायाव\V_VM]]_NP [[सरकारा\N_NN]]_NP [[गावनि\PR_PRC बिबानखौ\N_NN]]_NP [[जोबोर\RP_INTF गिलिर\JJ मोन्दों\V_VM]]_VGF [[नाथाय\CC_CCD]]_CCP [[बेनि\DM_DMD]]_NP [[मोगथां\N_NN महरा\N_NN]]_NP [[जोबोर\RP_INTF जिंगा\N_NN गोनां\JJ ।\RD_PUNC]]_NP 
HAD27,[[आबादनि\N_NN मुङाव\N_NN]]_NP [[होनो\V_VM गोनां\JJ दाहारनि\N_NN]]_NP [[94\QT_QTC जौखोन्दो\N_NN बाहागोआ\N_NN]]_NP [[गेदेर\JJ हाल\N_NN]]_NP गोनांलʼ\JJ थानाय\V_VM]]_NP [[आबादारिफोरनि\N_NN बाहागोआव\N_NN]]_NP [[थाङो\V_VM ।\RD_PUNC]]_VGF 
HAD28,[[सरकारा\N_NN]]_NP [[नारसिनसेयावबो\V_VM]]_NP [[फिसा\JJ]]_JJP [[आरो\CC_CCD]]_CCP [[नेहाद\JJ [[आबादारिफोरा\N_NN [[बेंकनि\N_NN दाहारखौ\N_NN]]_NP [[सुखनो\V_VM]]_NP [[थियारि\V_VM [[नङा\V_VM ।\RD_PUNC]]_NEGP 
HAD29,[[हादरारि\N_NN नमुना\N_NN]]_NP [[नायबिजिरसंनि\N_NN]]_NP [[(\RD_PUNC एनएसएस\N_NNP )\RD_PUNC बादियै\PSP]]_NP [[हादराव\N_NN]]_NP [[80\QT_QTC जौखोन्दो\N_NN]]_NP [[फिसा\JJ]]_NP [[आरो\CC_CCD]]_CCP [[नेहाद\JJ [[आबादारिफोर\N_NN [[दं\V_VAUX ।\RD_PUNC]]_VGF 
HAD30,[[रांखान्थि\N_NN मन्थ्रि\N_NN]]_NP [[आफादनि\N_NN]]_NP [[बे\DM_DMD]]_NP रेकर्दनि\RD_UNK बादियै\PSP]]_RBP [[बेंकिंनि\N_NN दाहाराव\N_NN]]_NP [[बेनि\DM_DMD]]_NP बाहागोआरिया\N_NN द\QT_QTC जौखोन्दोसोलʼ\N_NN ।\RD_PUNC]]_VGF 
HAD31,[[बावैसो\N_NST बोसोराव\N_NN [[बेंकफोरनि\N_NN सायाव\N_NST]]_NP [[नारसिननाय\V_VM जायो\V_VM]]_VGF [[दि\PSP]]_BLK [[बिसोरो\PR_PRP]]_NP [[बांसिनै\QT_QTF]]_RBP [[फिसा\JJ आरो\CC_CCD]]_CCP [[नेहाद\JJ [[आबादारिफोरनि\N_NN सानरिखि\N_NN]]_NP [[खुलियो\V_VM ।\RD_PUNC]]_VGF 
HAD32,[[2011\N_NNP -\RD_PUNC [[12\QT_QTC मायथायाव\N_NN]]_NP [[आबाद\N_NN खोन्दोनि\N_NN थाखाय\PSP]]_NP [[गासै\PR_PRI 6\QT_QTC .\RD_PUNC]]_NP [[35\QT_QTC कौटि\N_NN]]_NP [[सानरिखि\N_NN]]_NP [[खुलियो\V_VM ।\RD_PUNC]]_VGF 
HAD33,[[बेयाव\DM_DMD]]_RBP [[62\QT_QTC जौखोन्दोनिख्रुइ\N_NN]]_NP [[बांसिन\QT_QTF]]_JJP [[बोहागोआ\N_NN]]_NP [[फिसा\JJ]]_JJP [[आरो\CC_CCD]]_CCP [[नेहाद\JJ [[आबादारिफोरनिमोन\N_NN ।\RD_PUNC]]_VGF 
HAD34,[[``\RD_PUNC बेंकफोरा\N_NN]]_NP [[गासै\PR_PRI दिहुनना\V_VM]]_NP होनाय\V_VM लननि\N_NN]]_NP [[18\QT_QTC जौखोन्दो\N_NN]]_NP [[आबाद\N_NN खोन्दोआव\N_NN]]_NP [[होनो\V_VM गोनां\JJ [[जायो\V_VM ।\RD_PUNC]]_VGF [[``\RD_PUNC]]_VGF 
HAD35,[[भारता\N_NNP सिगांनिफ्रायनो\N_NST]]_NP [[गंसे\QT_QTO आबाद\N_NN]]_NP [[गाहाइ\JJ हादर\N_NN ।\RD_PUNC]]_NP 
HAD36,[[आथिकालाव\N_NST [[आबादारि\N_NN खोन्दोआव\N_NN]]_NP केरियार\RD_UNK दानायनि\V_VM]]_NP [[गुबुन\JJ गुबुन\JJ गोबां\QT_QTF राहा\N_NN]]_NP [[दंसै\V_VM ।\RD_PUNC]]_VGF 
HAD37,[[हादरनाङैनो\N_NN]]_NP [[गोबां\QT_QTF आबाद\N_NN]]_NP [[मुलुग\N_NN सोलोंसालि\N_NN]]_NP [[दं\V_VAUX]]_VGF [[जेराव\N_NST]]_CCP [[ग्रेजुवेसन\N_NN]]_NP [[आरो\CC_CCD]]_CCP [[पस्ट\RD_UNK [[ग्रेजुवेसन\N_NN थाखोनि\N_NN]]_NP सोलोंथाइनि\N_NN राहा\N_NN]]_NP [[दं\V_VAUX ।\RD_PUNC]]_VGF 
HAD38,[[बेनि\DM_DMD अनगायैबो\RB]]_NP [[बिजिरसंनायनि\V_VM थाखायबो\PSP]]_NP [[साबसिन\JJ सुबिदाफोर\N_NN]]_NP [[दंसै\V_VM ।\RD_PUNC]]_VGF 
HAD39,"[[फिजिक्स\N_NN ,\RD_PUNC]]_NP [[केमेस्ट्रि\N_NN ,\RD_PUNC]]_NP [[मेथ्स\N_NN]]_NP [[आरो\CC_CCD]]_CCP [[बायलजिजों\N_NN]]_NP [[12\QT_QTC]]_NP थि\JJ उथ्रिनाय\V_VM फरायसाफोरा\N_NN]]_NP [[एग्रिकालसार\N_NN इनजिनियारिङाव\N_NN]]_NP [[मुं\N_NN]]_NP [[थिसननो\V_VM हायो\V_VM ।\RD_PUNC]]_VGF "
HAD40,"[[मुवा\N_NN]]_NP [[बिगियान\N_NN ,\RD_PUNC]]_NP [[रासायन\N_NN]]_NP [[बिगियान\N_NN]]_NP [[आरो\CC_CCD]]_CCP [[जिब\N_NN बिगियानजों\N_NN]]_NP [[12\QT_QTC]]_NP थि\JJ उथ्रिनाय\V_VM फरायसाफोरा\N_NN]]_NP [[सेरिकाल्साराव\N_NN]]_JJP [[थादेरनाय\V_VM फराफारिफोराव\N_NN]]_NP [[मुं\N_NN]]_NP [[थिसननो\V_VM हागौ\V_VM ।\RD_PUNC]]_VGF "
HAD41,[[हाग्राफोरनि\N_NN]]_NP [[बायदि\PSP [[बायदि\PSP बेरामफोरखौ\N_NN]]_NP [[फरायनाय\V_VM]]_NP [[आबाद\N_NN बिगियाननि\N_NN]]_NP [[जाय\PR_PRL]]_CCP दालाइ\N_NN बेखौ\DM_DMD]]_NP प्लान्ट\RD_UNK पेथलजि\RD_UNK]]_NP [[बुङो\V_VM ।\RD_PUNC]]_VGF 
HAD42,"[[प्लान्ट\RD_UNK पेथलजियाव\RD_UNK]]_NP बेक्टेरिया\N_NN ,\RD_PUNC]]_NP [[फांगास\RD_UNK ,\RD_PUNC]]_NP [[भाइरास\N_NN ,\RD_PUNC]]_NP [[माइक्रबस\N_NN]]_NP [[बायदिफोरनि\PSP सायाव\N_NST [[गोथौवै\RB बिजिरसंनाय\V_VM]]_NP [[जायो\V_VM ।\RD_PUNC]]_VGF "
HAD43,"[[दायरि\N_NN [[टेक्नलजिनि\RD_UNK जोहै\PSP]]_VGF [[नोंथाङा\PR_PRP]]_NP [[दायरि\N_NN इनजिनियारिं\RD_UNK ,\RD_PUNC]]_NP [[दायरि\N_NN केमिस्ट्री\RD_UNK]]_NP [[एबा\CC_CCD]]_CCP [[दायरि\N_NN बेक्टीरियालजियाव\N_NN]]_NP [[रोंखा\JJ -\RD_PUNC राखा\RD_ECH]]_NP [[जानो\V_VM हागोन\V_VM ।\RD_PUNC]]_VGF "
HAD44,[[मुलुग\N_NN आदार\N_NN]]_NP [[आफादनि\N_NN]]_NP [[गोरों\JJ गोराफोरा\N_NN]]_NP [[बुङो\V_VM]]_VGF [[दि\CC_CCS]]_BLK [[बुहुमाव\N_NN]]_NP [[गाहाइ\JJ आबादनि\N_NN बाख्रिया\N_NN]]_NP [[खमायलांगासिनो\V_VM दं\V_VAUX]]_VGF [[आरो\CC_CCD]]_CCP [[बेसेनफोरा\N_NN]]_NP [[बांलांगासिनो\V_VM दं\V_VAUX ।\RD_PUNC]]_VGF 
HAD45,[[फिसा\JJ आबादारिफोरा\N_NN]]_NP [[बेसेन\N_NN गोसा\JJ]]_JJP [[टेकनिकफोरनि\RD_UNK सायाव\N_NST]]_NP [[बांद्राय\QT_QTF सोनारनायनि\V_VM जाहोनाव\N_NN]]_NP [[बिसोरखौ\PR_PRP दाहार\N_NN गोनां\JJ]]_NP [[खालामो\V_VM]]_VGF [[आरो\CC_CCD]]_CCP [[बिसोरनि\PR_PRP हाफोरखौबो\N_NN [[सेखनो\V_VM हमो\V_VM ।\RD_PUNC]]_VGF 
HAD46,"[[बे\DM_DMD बादिनो\PSP हादराव\N_NN]]_NP [[जाय\PR_PRL]]_CCP नखरा\N_NN जानाय\V_VM [[आदार\N_NN दिहुननायनि\V_VM थाखाय\PSP]]_NP [[बांद्राय\QT_QTF मावो\V_VM ,\RD_PUNC]]_VGF [[बिसोर\PR_PRP]]_NP [[गावनो\PR_PRC गाव\PR_PRC]]_NP उखैजानाय\V_VM ,\RD_PUNC]]_NP [[लोरबां\JJ देहा\N_NN]]_NP [[आरो\CC_CCD]]_CCP [[रांखान्थियारि\N_NN खैफोदजों\N_NN]]_NP [[दुखु\JJ मोननाङो\V_VM ।\RD_PUNC]]_VGF "
HAD47,"[[जानाय\V_VM आदार\N_NN]]_NP [[रैखाथिनि\N_NN थाखाय\PSP]]_NP [[बयनिख्रुइ\PR_PRI सिगांसिनै\N_NST]]_RBP [[आबादारिफोरनि\N_NN]]_NP [[रैखाथिखौ\N_NN]]_NP [[गोनांथि\JJ]]_NP [[होनांगौ\V_VM ,\RD_PUNC]]_VGF [[मानोना\CC_CCS]]_CCP [[आथिखालावथʼ\N_NST आबादारिफोरासो\N_NN]]_NP [[खैफदाव\JJ]]_NP [[गोग्लैना\V_VM [[दं\V_VAUX ।\RD_PUNC]]_VGF "
HAD48,[[हा\N_NN गैजारोङै\V_VM]]_NP [[आबाद\N_NN]]_NP [[मावग्राफोरनोबो\N_NN]]_NP [[खमावबो\QT_QTF [[बिगानै\QT_QTO बिगाथाम\QT_QTO]]_NP [[हा\N_NN]]_NP [[होनानै\V_VM]]_NP [[फिसा\JJ आबादारिफोरनि\N_NN]]_NP सारियाव\N_NN लाबोनो\V_VM नांगौ\JJ ।\RD_PUNC]]_VGF 
HAD49,[[बे\DM_DMD बादिनो\PSP जानाय\V_VM आदारनि\N_NN]]_NP [[दिहुनथायाबो\V_VM बारायगोन\V_VM]]_NP [[आरो\CC_CCD]]_CCP [[गामिफोरनिफ्राय\N_NN उखैजानाय\V_VM]]_NP [[आरो\CC_CCD]]_CCP [[लोरबां\JJ नखरफोराबो\N_NN]]_JJP [[जोबलांगोन\V_VM ।\RD_PUNC]]_VGF 
HAD50,[[बिगियानिफोरनि\N_NN बादियैब्ला\PSP]]_NP [[गोदान\JJ टेकनलजिफोरनिफ्राय\RD_UNK]]_NP [[आबादारिफोरा\N_NN]]_NP गोबां\QT_QTF दिहुनथाइ\V_VM]]_NP [[दिहुननो\V_VM]]_NP [[आरो\CC_CCD]]_CCP [[बेनि\DM_DMD]]_NP बेसेन\QT_QTF गोसा\JJ]]_JJP [[मिथिंगायारि\N_NN सोदांथाइनि\V_VM]]_NP [[संरैखाथियाव\N_NN]]_NP [[हेफाजाब\N_NN [[मोनगोन\V_VM ।\RD_SYM]]_VGF 
HAD51,[[बिटि\N_NN खुन\N_NN]]_JJP [[बिरोंदामिना\N_NN]]_NP [[बेनि\DM_DMD बिदिन्थि\N_NN ।\RD_PUNC]]_NP 
HAD52,"[[ओरैहाय\RB]]_RBP [[जानाय\V_VM मुवाफोरनि\N_NN थाखाय\PSP]]_NP [[जि\QT_QTC एम\N_NN]]_NP टेकनलजिनि\RD_UNK सायाव\N_NST]]_NP [[दाबो\N_NST]]_NP [[गोबां\QT_QTF दान्थे\V_VM]]_NP [[बिदान्थे\V_VM]]_NP [[दं\V_VAUX ,\RD_PUNC]]_VGF [[जायनि\PR_PRL थाखाय\PSP]]_CCP [[गोथौ\JJ सावरायनायनि\V_VM]]_NP [[गोनांथि\JJ]]_NP [[दं\V_VAUX ।\RD_PUNC]]_VGF "
HAD53,"[[लोगोसे\RB]]_NP [[ओरै\RB बादि\PSP [[खान्थि\N_NN आजावनायनि\V_VM]]_NP [[गोनांथि\JJ]]_NP [[दं\V_VAUX ,\RD_PUNC]]_VGF [[जायजों\PR_PRL आदार\N_NN रैखाथिखौ\N_NN]]_NP [[गोजोर\N_NN [[खालामनो\V_VM हायो\V_VM ।\RD_PUNC]]_VGF "
HAD54,[[फोलेरारि\N_NN महर\N_NN]]_NP [[सोलायनाय\V_VM]]_NP [[थामहिनबा\CC_CCD]]_CCP [[जि\RD_UNK एम\RD_UNK]]_NP फसलफोरनि\N_NN सायाव\N_NST]]_NP [[फिन\N_NN]]_RBP [[सावरायनाय\V_VM]]_NP जादों\V_VM ।\RD_PUNC]]_VGF 
HAD55,"[[गोसोखां\V_VM ,\RD_PUNC]]_NP [[बेनि\DM_DMD सोमोन्दै\PSP]]_NP [[संसदारि\N_NN समितिया\N_NN सिगांनो\N_NST]]_NP [[गावनि\PR_PRC सान्दांथिफोरखौ\V_VM]]_NP [[सावरायखांबायमोन\V_VM ।\RD_PUNC]]_VGF "
HAD56,"[[नोजोर\N_NN होनो\V_VM गोनां\JJ ,\RD_PUNC]]_NP [[बिटि\N_NN फानथावजों\N_NN]]_NP सोमोन्दो\N_NN गोनां\JJ]]_NP [[दान्थे\V_VM]]_JJP [[बिदेन्थेयाव\V_VM]]_NP जेनेटिक\N_NN [[इनजिनियारिं\RD_UNK थाफानाय\V_VM]]_NP [[बिजिरथियाव\V_VM [[समितिनि\N_NN बिहोमानि\N_NN सायाव\N_NST]]_NP [[सन्दे\N_NN]]_NP [[जानो\V_VM हमदोंमोन\V_VM ।\RD_PUNC]]_VGF "
HAD57,[[जोबथारनायाव\V_VM]]_NP [[बेफोर\DM_DMD]]_NP गासै\PR_PRI जेंनाफोरा\N_NN]]_NP [[हाथाइ\N_NN]]_NP [[आरो\CC_CCD]]_CCP [[राजखान्थियारिनि\N_NN [[रांखान्थि\N_NN बिगियानजों\N_NN]]_NP [[थि\JJ जायो\V_VM ।\RD_PUNC]]_VGF 
HAD58,"[[बेयाव\DM_DMD बेखौबो\DM_DMD]]_NP [[गोसोआव\N_NN]]_NP लाखिनांगोन\V_VM ,\RD_PUNC]]_NP [[रासायनारि\N_NN हाग्रा\N_NN]]_NP [[आरो\CC_CCD]]_CCP [[एमफौ\N_NN]]_NP [[एनला\N_NN बुथारग्रा\N_NN मुलिफोर\N_NN]]_NP [[बाहायनाया\V_VM]]_NP [[बांनायनि\V_VM थाखाय\PSP]]_NP [[आबाद\N_NN मावनाया\V_VM]]_NP [[सिंगानिख्रुइ\N_NST]]_NP [[गाज्रि\JJ]]_JJP जालांबाय\V_VM ।\RD_PUNC]]_JJP"
HAD59,[[बेखौ\DM_DMD लुबैनाया\V_VM]]_NP [[बिथा\N_NN [[गैयै\V_VM नङा\V_VM]]_NEGP [[दि\CC_CCS]]_BLK [[आबादारिफोरा\N_NN]]_NP [[गावसोरनि\PR_PRC [[थाखानाय\V_VM गियानखौ\N_NN]]_NP [[लानानै\V_VM]]_VGNF [[आखाय\N_NN [[हेबना\V_VM थाबाय\V_VM थागोन\V_VM]]_VGF [[आरो\CC_CCD]]_CCP [[उनाव\N_NST]]_NP [[जाहाथे\PSP [[बेगर\N_NN फानग्रा\N_NN]]_NP [[कम्पनिफोरनि\N_NN सार्थ\N_NN]]_NP [[आरो\CC_CCD]]_CCP [[फावफान्दायनायजों\V_VM [[फिदिंजाया\V_VM ।\RD_PUNC]]_VGF 
HAD60,[[हादरनि\N_NN]]_NP [[बा\QT_QTC कौटि\N_NN]]_NP [[खुसेर\N_NNP दिहुनग्रा\N_NN आबादारि\N_NN]]_NP [[मिरुआ\N_NN सरकारनि\N_NN बेराम\N_NN गोनां\JJ खुसेरनि\N_NN]]_NP [[बेसेन\N_NN]]_NP [[आरो\CC_CCD]]_CCP [[सिनि\N_NN बिथांखिनि\N_NN थाखाय\PSP]]_NP [[खैफोदाव\JJ [[गोग्लैनाङो\V_VM ।\RD_PUNC]]_VGF 
HAD61,[[खुसेरनि\N_NNP बेसेनखौ\N_NN]]_NP [[थि\JJ खालामनाय\V_VM समाव\N_NST]]_NP [[मिरु\N_NN]]_NP [[आरो\CC_CCD]]_CCP [[राय्जो\N_NN सरकारफोरा\N_NN]]_NP [[दाजानाय\V_VM सुगार\RD_UNK]]_VGNN [[लबिनि\N_NN]]_NEGP [[नारसिनथायाव\V_VM थायो\V_VM ।\RD_PUNC]]_VGF 
